"comment_id","reviewer_text","status","existing_evidence_location","planned_new_items","manuscript_changes_location","notes_about_mismatch"
"GATE-1A","Strictly nested CV + no leakage must be explicitly evidenced","already-addressed","Main Methods strictly nested section: main_revised.tex:175-183 (label context sec:methods, approx PDF p5)","Add one concise reviewer-facing sentence highlighting isolation boundaries","main_revised.tex:175-187","No mismatch detected"
"GATE-1B","Hyperparameter grid must be explicitly evidenced","already-addressed","Supp Table S3: supp_revised.tex:357-361 (label tab:ml_grid, approx PDF p13)","None mandatory; keep explicit pointer in rebuttal","main_revised.tex:177 + supp_revised.tex:357-361","No mismatch detected"
"GATE-1C","Calibration plot with ROC must be explicitly evidenced","already-addressed","Main Fig4 panel b: main_revised.tex:267-270 + caption 284-285 (label fig:ml_comprehensive, approx PDF p9)","Add one sentence in Results to flag calibration response","main_revised.tex:244-251","No mismatch detected"
"GATE-1D","DCA and threshold evidence must be explicitly evidenced","already-addressed","Supp Fig S9: supp_revised.tex:270-289 (label fig:s9_dca_shap, approx PDF p11); Supp Table S9: supp_revised.tex:485-488 (label tab:S9_threshold_metrics_exactci, approx PDF p14)","Clarify score-definition lock (10-gene output)","main_revised.tex:175-187; supp_revised.tex:485-499","Potential score-definition mismatch with exploratory analyses"
"GATE-1E","MR Steiger/MR-PRESSO/Weighted median evidence must be explicit","already-addressed","Main MR text: main_revised.tex:291-300 (Steiger/MR-PRESSO at 298, approx PDF p10-12); Supp Table S6: supp_revised.tex:418-432 (label tab:mr_sensitivity, approx PDF p14); Supp Fig S11: supp_revised.tex:510-514 (weighted median mention)","Add one sentence linking exclusion-restriction risk to heterogeneity","main_revised.tex:291-301; 352-361","No mismatch detected"
"R1-0","Clarify Venn-derived legacy model vs current submitted model version","needs-new","10-gene model statements already present: main_revised.tex:102,149,221,284-285; supp_revised.tex:404-405","Add Response 0 wording in manuscript: final locked 10-gene model declaration + deconfusion text","main_revised.tex:175-187 and 219-223","Current text has no Venn-derived legacy-model claim; reviewer text likely mapped to older draft context"
"R1-M1","Disease specificity vs broad inflammatory overlap","partially-addressed","Supp figure S10 + discrimination table + descriptive-only distribution/status tables: supp_revised.tex:501-519; submission_pack/rev1_tables/Table_NegControl_IHS_Performance_Comparison.tex; Table_NegControl_DescriptiveOnly_Distribution.tex; Table_NegControl_Analysis_Status.tex","Maintain GSE28619 as discrimination evidence; keep GSE103580 as disease-only descriptive context with explicit no-control caveat; avoid any full disease-specificity claim","supp_revised.tex:501-519 and rev1_tables/Table_NegControl_*.tex","Partially addressed with strengthened negative-control evidence; disease-specificity not fully established; supplementary negative-control analyses are boundary-setting and do not redefine the primary locked 10-gene model."
"R1-M2","ML rigor, leakage prevention, batch/platform handling","already-addressed","Strict nested design and isolation: main_revised.tex:175-183; hyperparameter grid S3: supp_revised.tex:357-361; platform transportability framing: main_revised.tex:244-251","No additional rerun required; keep explicit anti-leakage split checklist language in rebuttal text","main_revised.tex:172-187 and 244-251","Nested CV and leakage controls are now explicit and aligned across main/supp"
"R1-M3","MR validity and exclusion-restriction sensitivity","already-addressed","Main MR triangulation text: main_revised.tex:291-300; Supp S6 sensitivity table: supp_revised.tex:418-432; weighted median shown in Supp Fig S11 caption line 513","Add one explicit limitation sentence on pleiotropy/heterogeneity interpretation","main_revised.tex:352-361","No structural evidence gap"
"R1-M4","IHS clinical cutoff and DCA utility","partially-addressed","DCA descriptive caveat in main text: main_revised.tex:250; Supp Fig S9 and Supp Table S9: supp_revised.tex:270-289 and 485-499; threshold-level incremental table: submission_pack/rev1_tables/Table_DCA_Incremental_vs_SLC2A1_KeyThresholds.tex","Keep DCA strictly descriptive; state no formal incremental net-benefit comparison vs FIB-4/NFS due to unavailable extractable variables in public transcriptomic cohorts","main_revised.tex:175-187; supp_revised.tex:270-289, 485-499 and rev1_tables/Table_DCA_Incremental_vs_SLC2A1_KeyThresholds.tex","Clinical utility response strengthened but no FIB-4/NFS incremental benchmarking available; DCA tables are descriptive boundary analyses and not a replacement for the primary locked 10-gene claim."
"R1-F1","Figure 2 feature-importance transparency","already-addressed","SHAP and interpretability in Supp Fig S9: supp_revised.tex:283-289; main caption points to Supp S9: main_revised.tex:284-285","No mandatory new analysis; keep explicit pointer to SHAP interpretability panel and rank context","main_revised.tex:260-286 and 219-223","Feature-importance evidence is present and cross-referenced"
"R1-F2","Figure 4 requires calibration alongside ROC","already-addressed","Main Fig4b ROC+calibration: main_revised.tex:267-270 and caption 284-285 (label fig:ml_comprehensive)","Add explicit sentence in Results pointing to calibration panel","main_revised.tex:244-251","No evidence gap"
"R1-F3","Table 1 desaturation metrics should be explicit","partially-addressed","Supp hypoxia table and completeness audit are included via supp_revised.tex reviewer-assets block; input files: rev1_tables/Table1_Supplement_Hypoxia_Parameters.tex and Table1_Hypoxia_Metadata_Completeness.tex","Keep structured metadata audit and explicit NA limitations; clarify lack of sample-level ODI/T90/SpO2 for robust score-physiology correlation","supp_revised.tex reviewer-assets block; rev1_tables/Table1_Supplement_Hypoxia_Parameters.tex; rev1_tables/Table1_Hypoxia_Metadata_Completeness.tex","Data-availability audit completed, but full patient-level desaturation correlation remains infeasible"
"R1-m1","Terminology consistency: MASLD vs NAFLD","partially-addressed","MASLD-first wording present (e.g., main_revised.tex:333), but NAFLD-coded legacy strings remain where source labels are retained","Run final terminology harmonization pass while preserving dataset/GWAS naming traceability","main_revised.tex:333-374; supp_revised.tex:458-466","Needs editorial cleanup, not analytic rerun"
"R1-m2","Reproducibility: versions and repository details","partially-addressed","Data/code availability already present: main_revised.tex:402; supp_revised.tex:475-476","Add explicit software/session version reference and pipeline entry path in supplement/reproducibility note","main_revised.tex:402; supp_revised.tex:475-476","Needs metadata completeness"
"R1-m3","Data sparsity/common genes after integration should be explicit","needs-new","Current text is qualitative on candidate distillation: main_revised.tex:219-223","Add exact common-gene attrition counts and filtering stage location","main_revised.tex:172-177 and 219-223","Currently no single explicit common-gene count sentence"

